commit_hash,PKG,ACDC,WCA,WCA higher,LIMBO,LIMBO higher
f64fda0f00b22793a9c5ea10f9d73ef33fa2b563,99,71,12,NA,12,NA
eaf2f6137feb2ff8f8b1e9b94d3545f4fba8101c,72,55,12,NA,12,NA
6ba8fd7e8e038351fc14f6096ea2216ce2abe918,75,58,12,58,12,58
0f6dfeeacbab65a31a33927a4eb84871d371fe52,58,48,12,NA,12,NA
13052a341fdca860e1bbb000bc0a9d00b840d948,71,54,12,NA,12,NA
ddc3f5d10532e487bee16a52c4d33e45000a06c2,58,48,12,NA,12,NA
6316e662791c3fe19ce43550a57ae4e9beac05ad,60,48,12,NA,12,NA
4a4868e52360d7543909a7981b4606db939230ea,71,54,12,58,12,58
228742acad6b56c0e4fafe285099fcdfa5b6e47f,72,55,12,NA,12,NA
acd3ab521f957929c2acf7868e7c17e9088fa1b4,58,48,12,NA,12,NA
783e4805e7ef46da6095e0375fe8dd5e9cd26e85,100,71,12,NA,12,NA
14b97a91d9a7d721bd1dc276640dcf9c99af188e,60,48,12,NA,12,NA
da4ba50269254456650c08c739f2b394d1182ee4,76,58,12,NA,12,NA
a0f120ce68dddb0cb31b64c89f3224313f3cb5af,60,48,12,NA,12,NA
5bbca80428ffbe776650652de86a3bba885edb31,85,64,12,58,12,58
0294c49df60150bd9b363af5cfbc312222c12c69,85,64,12,NA,12,NA
21d921ac23ad0da035cb6db11a1a2d585790b247,75,57,12,NA,12,NA
b214bbd2d92a0c02b71d352dba85f3b87317933c,88,66,12,NA,12,NA
81bc395deb3ba00567dc067d6ca71bacf9e3bc82,71,54,12,NA,12,NA
b77bc477b5619e8fef8ed02da6042ea0d0c2de4d,60,48,12,NA,12,NA
5b1d594005293e8de7e58cd70cde88c9041107cf,100,71,12,58,12,58
cd894ca890e57c20ea8ec4578ae52248b555fcc0,71,54,12,NA,12,NA
